anio,mujeres_denuncia,hombres_denuncia,no_especificado_denuncia,mujeres_reporte,hombres_reporte,no_especificado_reporte
1995,0,1,True,0,0,
1997,0,1,,0,0,
1998,0,1,,0,0,
1999,0,1,,0,0,
2000,0,1,,0,0,
2001,3,7,,0,0,
2002,6,20,,0,0,
2003,7,27,,0,0,
2004,10,24,,0,0,
2005,11,23,,0,0,
2006,7,23,,0,0,
2007,3,23,,0,0,
2008,8,59,,0,0,
2009,7,70,,0,0,
2010,13,131,,0,0,
2011,38,276,,0,0,
2012,50,320,,0,0,
2013,68,486,,0,0,
2014,53,462,,0,0,
2015,50,481,,0,0,
2016,67,593,,0,0,
2017,96,863,,0,0,
2018,110,1211,,67,53,
2019,162,1546,,4,18,
2020,148,1197,,55,207,
2021,153,1101,,111,337,
2022,130,1308,,98,268,
2023,131,1069,,66,241,
NO DISPONIBLE,0,0,,0,0,
