anio,mujeres_denuncia,hombres_denuncia,mujeres_reporte,hombres_reporte
1942,0.0,0.0,0.0,1.0
1943,0.0,1.0,0.0,0.0
1960,0.0,1.0,0.0,0.0
1965,1.0,2.0,0.0,0.0
1973,0.0,1.0,0.0,0.0
1976,0.0,0.0,0.0,1.0
1977,1.0,1.0,1.0,10.0
1979,0.0,1.0,0.0,0.0
1980,0.0,2.0,0.0,0.0
1983,0.0,0.0,1.0,0.0
1984,0.0,0.0,0.0,0.0
1985,0.0,2.0,0.0,0.0
1986,0.0,1.0,0.0,0.0
1987,0.0,2.0,0.0,0.0
1988,0.0,1.0,0.0,1.0
1991,1.0,1.0,0.0,0.0
1992,1.0,5.0,0.0,0.0
1993,0.0,1.0,0.0,0.0
1994,0.0,5.0,0.0,0.0
1995,0.0,7.0,0.0,1.0
1996,0.0,3.0,0.0,0.0
1997,0.0,4.0,0.0,1.0
1998,0.0,6.0,1.0,1.0
1999,1.0,1.0,1.0,1.0
2000,0.0,7.0,0.0,2.0
2001,4.0,11.0,0.0,0.0
2002,6.0,21.0,0.0,0.0
2003,7.0,29.0,0.0,1.0
2004,10.0,27.0,1.0,0.0
2005,11.0,33.0,0.0,0.0
2006,8.0,31.0,0.0,0.0
2007,4.0,27.0,0.0,1.0
2008,11.0,60.0,0.0,0.0
2009,8.0,88.0,0.0,1.0
2010,14.0,155.0,0.0,13.0
2011,41.0,301.0,0.0,2.0
2012,52.0,357.0,2.0,7.0
2013,73.0,528.0,0.0,9.0
2014,60.0,462.0,0.0,7.0
2015,49.0,504.0,1.0,13.0
2016,73.0,622.0,4.0,15.0
2017,96.0,955.0,6.0,25.0
2018,114.0,1213.0,60.0,66.0
2019,171.0,1580.0,12.0,56.0
2020,150.0,1140.0,43.0,143.0
2021,151.0,1047.0,83.0,260.0
2022,133.0,1259.0,91.0,220.0
2023,95.0,744.0,46.0,155.0
NO ESPECIFICADO,0.0,0.0,39.0,78.0
,,,,
