id_denuncia,anio,mujeres_denuncia,hombres_denuncia,no_especificado_denuncia,id_reporte,mujeres_reporte,hombres_reporte,no_especificado_reporte
1,1995,0,1,,1,0,0,
2,1997,0,1,,2,0,0,
3,1998,0,1,,3,0,0,
4,1999,0,1,,4,0,0,
5,2000,0,1,,5,0,0,
6,2001,3,7,,6,0,0,
7,2002,6,20,,7,0,0,
8,2003,7,27,,8,0,0,
9,2004,10,24,,9,0,0,
10,2005,11,23,,10,0,0,
11,2006,7,24,,11,0,0,
12,2007,3,23,,12,0,0,
13,2008,8,59,,13,0,0,
14,2009,7,70,,14,0,0,
15,2010,14,132,,15,0,0,
16,2011,38,277,,16,0,0,
17,2012,50,323,,17,0,0,
18,2013,68,489,,18,0,0,
19,2014,53,462,,19,0,0,
20,2015,50,482,,20,0,0,
21,2016,69,596,,21,0,0,
22,2017,96,864,,22,0,0,
23,2018,111,1212,,23,67,53,
24,2019,164,1552,,24,4,18,
25,2020,151,1204,,25,55,209,
26,2021,156,1109,,26,112,338,
27,2022,139,1326,,27,98,270,
28,2023,125,939,,28,56,203,
29,NO DISPONIBLE,0,0,,29,0,0,
