edad,mujeres_denuncia,hombres_denuncia,mujeres_reporte,hombres_reporte
00-04,20.0,19.0,20.0,14.0
05-09,11.0,13.0,18.0,17.0
10-14,55.0,51.0,36.0,33.0
15-19,230.0,823.0,82.0,92.0
20-24,243.0,1830.0,45.0,168.0
25-29,239.0,2039.0,53.0,165.0
30-34,170.0,1831.0,32.0,133.0
35-39,137.0,1534.0,20.0,119.0
40-44,87.0,1163.0,23.0,96.0
45-49,58.0,812.0,15.0,76.0
50-54,28.0,440.0,18.0,62.0
55-59,17.0,257.0,7.0,24.0
60-64,13.0,131.0,2.0,23.0
65-69,11.0,101.0,5.0,10.0
70-74,1.0,45.0,4.0,5.0
75-79,7.0,33.0,3.0,4.0
80-84,1.0,28.0,3.0,5.0
85-89,0.0,10.0,0.0,2.0
90-94,1.0,3.0,0.0,4.0
>95,1.0,1.0,,
NO DISPONIBLE,16.0,85.0,6.0,39.0
,,,,
95-99,,,0.0,0.0
