edad,mujeres_con_vida_denuncia,mujeres_sin_vida_denuncia,mujeres_con_vida_reporte,mujeres_sin_vida_reporte
00-04,85.0,1.0,32.0,0.0
05-09,59.0,2.0,25.0,0.0
10-14,750.0,1.0,124.0,0.0
15-19,1382.0,14.0,192.0,3.0
20-24,383.0,42.0,93.0,5.0
25-29,278.0,45.0,59.0,7.0
30-34,223.0,24.0,46.0,2.0
35-39,146.0,20.0,25.0,2.0
40-44,112.0,15.0,38.0,4.0
45-49,92.0,10.0,24.0,2.0
50-54,56.0,9.0,19.0,2.0
55-59,31.0,5.0,12.0,1.0
60-64,29.0,4.0,16.0,0.0
65-69,27.0,1.0,10.0,2.0
70-74,19.0,0.0,11.0,0.0
75-79,15.0,0.0,15.0,0.0
80-84,10.0,3.0,12.0,0.0
85-89,4.0,0.0,1.0,1.0
90-94,3.0,1.0,0.0,0.0
95-99,0.0,0.0,0.0,0.0
NO DISPONIBLE,2.0,1.0,6.0,0.0
,,,,
