anio,mujeres_denuncia,hombres_denuncia,no_especificado_denuncia,mujeres_reporte,hombres_reporte,no_especificado_reporte
1995,0.0,1.0,,0.0,0.0,
1997,0.0,1.0,,0.0,0.0,
1998,0.0,0.0,,0.0,0.0,
1999,0.0,1.0,,0.0,0.0,
2000,0.0,1.0,,0.0,0.0,
2001,2.0,7.0,,0.0,0.0,
2002,6.0,20.0,,0.0,0.0,
2003,6.0,27.0,,0.0,0.0,
2004,9.0,24.0,,0.0,0.0,
2005,11.0,23.0,,0.0,0.0,
2006,7.0,23.0,,0.0,0.0,
2007,3.0,23.0,,0.0,0.0,
2008,8.0,58.0,,0.0,0.0,
2009,6.0,69.0,,0.0,0.0,
2010,13.0,137.0,,0.0,0.0,
2011,38.0,266.0,,0.0,0.0,
2012,49.0,318.0,,0.0,0.0,
2013,63.0,481.0,,0.0,0.0,
2014,51.0,461.0,,0.0,0.0,
2015,49.0,480.0,,0.0,0.0,
2016,66.0,589.0,,0.0,0.0,
2017,94.0,858.0,,0.0,0.0,
2018,110.0,1207.0,,63.0,48.0,
2019,157.0,1534.0,,4.0,14.0,
2020,143.0,1182.0,,54.0,202.0,
2021,150.0,1091.0,,110.0,332.0,
2022,121.0,1282.0,,98.0,261.0,
2023,141.0,1373.0,,82.0,307.0,
NO DISPONIBLE,0.0,0.0,,0.0,0.0,
,,,,,,
