edad,mujeres_denuncia,hombres_denuncia,mujeres_reporte,hombres_reporte
00-04,16.0,20.0,23.0,15.0
05-09,8.0,14.0,19.0,17.0
10-14,48.0,52.0,39.0,36.0
15-19,213.0,840.0,82.0,98.0
20-24,247.0,1860.0,49.0,181.0
25-29,234.0,2100.0,54.0,177.0
30-34,172.0,1894.0,35.0,142.0
35-39,136.0,1575.0,19.0,132.0
40-44,85.0,1206.0,24.0,100.0
45-49,54.0,839.0,16.0,80.0
50-54,32.0,464.0,17.0,67.0
55-59,17.0,258.0,7.0,25.0
60-64,14.0,137.0,3.0,27.0
65-69,11.0,98.0,5.0,12.0
70-74,0.0,48.0,5.0,4.0
75-79,7.0,34.0,4.0,3.0
80-84,1.0,31.0,4.0,6.0
85-89,0.0,12.0,0.0,1.0
90-94,1.0,3.0,0.0,3.0
>95,1.0,2.0,0.0,0.0
NO DISPONIBLE,6.0,50.0,6.0,38.0
,,,,
