edad,mujeres_con_vida_denuncia,mujeres_sin_vida_denuncia,mujeres_con_vida_reporte,mujeres_sin_vida_reporte,hombres_con_vida_denuncia,hombres_sin_vida_denuncia,hombres_con_vida_reporte,hombres_sin_vida_reporte
00-04,90.0,2.0,33.0,0.0,89.0,2.0,33.0,1.0
05-09,63.0,2.0,27.0,0.0,85.0,1.0,41.0,0.0
10-14,773.0,3.0,128.0,0.0,426.0,7.0,94.0,0.0
15-19,1423.0,19.0,205.0,3.0,969.0,128.0,153.0,31.0
20-24,393.0,48.0,97.0,6.0,1043.0,308.0,151.0,29.0
25-29,296.0,50.0,62.0,9.0,928.0,327.0,149.0,31.0
30-34,235.0,27.0,53.0,3.0,797.0,280.0,119.0,22.0
35-39,153.0,20.0,27.0,2.0,661.0,246.0,93.0,26.0
40-44,116.0,18.0,39.0,4.0,536.0,179.0,83.0,23.0
45-49,99.0,12.0,26.0,2.0,378.0,145.0,66.0,20.0
50-54,59.0,10.0,20.0,2.0,254.0,79.0,48.0,9.0
55-59,33.0,5.0,12.0,1.0,178.0,53.0,42.0,11.0
60-64,31.0,4.0,18.0,0.0,139.0,38.0,29.0,3.0
65-69,28.0,1.0,10.0,2.0,93.0,22.0,23.0,5.0
70-74,20.0,0.0,14.0,0.0,74.0,19.0,26.0,1.0
75-79,15.0,0.0,18.0,0.0,53.0,19.0,24.0,1.0
80-84,10.0,3.0,12.0,0.0,52.0,10.0,26.0,1.0
85-89,5.0,0.0,1.0,1.0,25.0,3.0,18.0,1.0
90-94,3.0,1.0,0.0,0.0,7.0,4.0,5.0,0.0
>95,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
NO DISPONIBLE,5.0,1.0,6.0,0.0,11.0,2.0,6.0,4.0
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
