edad,mujeres_con_vida_denuncia,mujeres_sin_vida_denuncia,mujeres_con_vida_reporte,mujeres_sin_vida_reporte
00-04,90.0,2.0,33.0,0.0
05-09,63.0,2.0,27.0,0.0
10-14,773.0,3.0,128.0,0.0
15-19,1423.0,19.0,205.0,3.0
20-24,393.0,48.0,97.0,6.0
25-29,296.0,50.0,62.0,9.0
30-34,235.0,27.0,53.0,3.0
35-39,153.0,20.0,27.0,2.0
40-44,116.0,18.0,39.0,4.0
45-49,99.0,12.0,26.0,2.0
50-54,59.0,10.0,20.0,2.0
55-59,33.0,5.0,12.0,1.0
60-64,31.0,4.0,18.0,0.0
65-69,28.0,1.0,10.0,2.0
70-74,20.0,0.0,14.0,0.0
75-79,15.0,0.0,18.0,0.0
80-84,10.0,3.0,12.0,0.0
85-89,5.0,0.0,1.0,1.0
90-94,3.0,1.0,0.0,0.0
>95,0.0,0.0,0.0,0.0
NO DISPONIBLE,5.0,1.0,6.0,0.0
,,,,
,,,,
,,,,
,,,,
