anio,mujeres_denuncia,hombres_denuncia,no_especificado_denuncia,mujeres_reporte,hombres_reporte,no_especificado_reporte
1995,0,1,,0,0,
1997,0,1,,0,0,
1998,0,0,,0,0,
1999,0,1,,0,0,
2000,0,1,,0,0,
2001,3,7,,0,0,
2002,6,20,,0,0,
2003,6,27,,0,0,
2004,10,24,,0,0,
2005,11,23,,0,0,
2006,7,23,,0,0,
2007,3,23,,0,0,
2008,8,58,,0,0,
2009,6,69,,0,0,
2010,13,137,,0,0,
2011,38,267,,0,0,
2012,49,320,,0,0,
2013,67,482,,0,0,
2014,52,461,,0,0,
2015,49,483,,0,0,
2016,66,589,,0,0,
2017,95,859,,0,0,
2018,110,1207,,63,48,
2019,158,1537,,4,14,
2020,143,1184,,54,203,
2021,151,1093,,109,332,
2022,122,1288,,98,263,
2023,141,1269,,75,282,
NO DISPONIBLE,0,0,,0,0,
