edad,mujeres_denuncia,hombres_denuncia,mujeres_reporte,hombres_reporte
00-04,16.0,20.0,21.0,15.0
05-09,10.0,14.0,19.0,17.0
10-14,52.0,52.0,37.0,35.0
15-19,217.0,834.0,83.0,99.0
20-24,245.0,1853.0,47.0,175.0
25-29,235.0,2088.0,52.0,173.0
30-34,170.0,1875.0,36.0,141.0
35-39,136.0,1561.0,19.0,127.0
40-44,86.0,1199.0,23.0,100.0
45-49,53.0,828.0,15.0,77.0
50-54,31.0,451.0,17.0,65.0
55-59,17.0,258.0,7.0,23.0
60-64,13.0,136.0,3.0,27.0
65-69,11.0,98.0,5.0,12.0
70-74,1.0,48.0,5.0,4.0
75-79,7.0,33.0,4.0,3.0
80-84,1.0,31.0,4.0,6.0
85-89,0.0,11.0,0.0,2.0
90-94,1.0,3.0,0.0,3.0
>95,1.0,2.0,,
NO DISPONIBLE,11.0,59.0,6.0,38.0
,,,,
95-99,,,0.0,0.0
