edad,mujeres_con_vida_denuncia,mujeres_sin_vida_denuncia,mujeres_con_vida_reporte,mujeres_sin_vida_reporte
00-04,90.0,2.0,32.0,0.0
05-09,60.0,2.0,26.0,0.0
10-14,765.0,3.0,128.0,0.0
15-19,1411.0,18.0,201.0,3.0
20-24,388.0,47.0,94.0,5.0
25-29,290.0,48.0,61.0,9.0
30-34,232.0,27.0,51.0,3.0
35-39,151.0,20.0,26.0,2.0
40-44,115.0,17.0,39.0,4.0
45-49,98.0,12.0,26.0,2.0
50-54,57.0,9.0,20.0,2.0
55-59,33.0,5.0,12.0,1.0
60-64,30.0,4.0,18.0,0.0
65-69,28.0,1.0,10.0,2.0
70-74,19.0,0.0,13.0,0.0
75-79,15.0,0.0,18.0,0.0
80-84,10.0,3.0,12.0,0.0
85-89,5.0,0.0,1.0,1.0
90-94,3.0,1.0,0.0,0.0
95-99,0.0,0.0,0.0,0.0
NO DISPONIBLE,2.0,1.0,6.0,0.0
,,,,
