anio,mujeres_denuncia,hombres_denuncia,no_especificado_denuncia,mujeres_reporte,hombres_reporte,no_especificado_reporte
1995,0,1,,0,0,
1997,0,1,,0,0,
1998,0,1,,0,0,
1999,0,1,,0,0,
2000,0,1,,0,0,
2001,3,7,,0,0,
2002,6,20,,0,0,
2003,7,27,,0,0,
2004,10,24,,0,0,
2005,11,23,,0,0,
2006,7,23,,0,0,
2007,3,23,,0,0,
2008,8,58,,0,0,
2009,7,70,,0,0,
2010,13,131,,0,0,
2011,38,274,,0,0,
2012,50,320,,0,0,
2013,68,485,,0,0,
2014,52,461,,0,0,
2015,49,481,,0,0,
2016,66,592,,0,0,
2017,96,862,,0,0,
2018,110,1210,,64,48,
2019,161,1543,,4,14,
2020,148,1190,,54,203,
2021,153,1099,,109,333,
2022,125,1302,,98,265,
2023,137,1174,,72,258,
NO DISPONIBLE,0,0,,0,0,
