edad,mujeres_con_vida_denuncia,mujeres_sin_vida_denuncia,mujeres_con_vida_reporte,mujeres_sin_vida_reporte,hombres_con_vida_denuncia,hombres_sin_vida_denuncia,hombres_con_vida_reporte,hombres_sin_vida_reporte
00-04,90.0,2.0,32.0,0.0,89.0,2.0,31.0,1.0
05-09,60.0,2.0,26.0,0.0,85.0,1.0,40.0,0.0
10-14,760.0,1.0,127.0,0.0,421.0,7.0,83.0,0.0
15-19,1409.0,16.0,199.0,3.0,946.0,124.0,151.0,30.0
20-24,388.0,45.0,94.0,5.0,1022.0,298.0,145.0,28.0
25-29,288.0,46.0,60.0,7.0,900.0,315.0,144.0,31.0
30-34,230.0,25.0,50.0,3.0,773.0,273.0,114.0,21.0
35-39,149.0,21.0,26.0,2.0,636.0,244.0,85.0,26.0
40-44,113.0,16.0,39.0,4.0,515.0,177.0,80.0,22.0
45-49,94.0,12.0,26.0,2.0,373.0,138.0,62.0,19.0
50-54,57.0,9.0,20.0,2.0,244.0,78.0,48.0,9.0
55-59,32.0,5.0,12.0,1.0,169.0,50.0,38.0,11.0
60-64,30.0,4.0,17.0,0.0,136.0,38.0,26.0,3.0
65-69,28.0,1.0,10.0,2.0,92.0,21.0,21.0,5.0
70-74,19.0,0.0,13.0,0.0,74.0,18.0,25.0,1.0
75-79,15.0,0.0,16.0,0.0,52.0,19.0,21.0,1.0
80-84,10.0,3.0,12.0,0.0,49.0,10.0,26.0,1.0
85-89,5.0,0.0,1.0,1.0,24.0,3.0,17.0,1.0
90-94,3.0,1.0,0.0,0.0,7.0,4.0,5.0,0.0
95-99,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
NO DISPONIBLE,2.0,1.0,6.0,0.0,11.0,1.0,6.0,4.0
,,,,,,,,
