cvemun_char,municipio,total
1,Acatic,23
2,Acatlán de Juárez,40
3,Ahualulco de Mercado,23
4,Amacueca,2
5,Amatitán,11
6,Ameca,73
7,San Juanito de Escobedo,11
8,Arandas,150
9,El Arenal,55
10,Atemajac de Brizuela,3
11,Atengo,7
12,Atenguillo,1
13,Atotonilco el Alto,150
14,Atoyac,5
15,Autlán de Navarro,96
16,Ayotlán,64
17,Ayutla,23
18,La Barca,161
19,Bolaños,0
20,Cabo Corrientes,18
21,Casimiro Castillo,51
22,Cihuatlán,95
23,Zapotlán el Grande,126
24,Cocula,37
25,Colotlán,49
26,Concepción de Buenos Aires,7
27,Cuautitlán de García Barragán,20
28,Cuautla,3
29,Cuquío,7
30,Chapala,109
31,Chimaltitán,8
32,Chiquilistlán,3
33,Degollado,21
34,Ejutla,2
35,Encarnación de Díaz,230
36,Etzatlán,28
37,El Grullo,34
38,Guachinango,2
39,Guadalajara,2113
40,Hostotipaquillo,5
41,Huejúcar,21
42,Huejuquilla el Alto,29
43,La Huerta,68
44,Ixtlahuacán de los Membrillos,125
45,Ixtlahuacán del Río,23
46,Jalostotitlán,59
47,Jamay,17
48,Jesús María,19
49,Jilotlán de los Dolores,7
50,Jocotepec,88
51,Juanacatlán,32
52,Juchitlán,12
53,Lagos de Moreno,536
54,El Limón,5
55,Magdalena,33
56,Santa María del Oro,10
57,La Manzanilla de la Paz,9
58,Mascota,6
59,Mazamitla,44
60,Mexticacán,3
61,Mezquitic,5
62,Mixtlán,9
63,Ocotlán,84
64,Ojuelos de Jalisco,46
65,Pihuamo,22
66,Poncitlán,43
67,Puerto Vallarta,415
68,Villa Purificación,18
69,Quitupan,17
70,El Salto,450
71,San Cristóbal de la Barranca,3
72,San Diego de Alejandría,8
73,San Juan de los Lagos,140
74,San Julián,25
75,San Marcos,2
76,San Martín de Bolaños,18
77,San Martín Hidalgo,17
78,San Miguel el Alto,97
79,Gómez Farías,8
80,San Sebastián del Oeste,15
81,Santa María de los Ángeles,3
82,Sayula,51
83,Tala,263
84,Talpa de Allende,20
85,Tamazula de Gordiano,35
86,Tapalpa,26
87,Tecalitlán,28
88,Tecolotlán,32
89,Techaluta de Montenegro,7
90,Tenamaxtlán,8
91,Teocaltiche,46
92,Teocuitatlán de Corona,2
93,Tepatitlán de Morelos,232
94,Tequila,56
95,Teuchitlán,11
96,Tizapán el Alto,19
97,Tlajomulco de Zúñiga,1243
98,San Pedro Tlaquepaque,993
99,Tolimán,7
100,Tomatlán,80
101,Tonalá,524
102,Tonaya,5
103,Tonila,20
104,Totatiche,4
105,Tototlán,7
106,Tuxcacuesco,23
107,Tuxcueca,8
108,Tuxpan,31
109,Unión de San Antonio,18
110,Unión de Tula,25
111,Valle de Guadalupe,6
112,Valle de Juárez,16
113,San Gabriel,51
114,Villa Corona,23
115,Villa Guerrero,9
116,Villa Hidalgo,5
117,Cañadas de Obregón,4
118,Yahualica de González Gallo,32
119,Zacoalco de Torres,17
120,Zapopan,2123
121,Zapotiltic,30
122,Zapotitlán de Vadillo,11
123,Zapotlán del Rey,4
124,Zapotlanejo,46
125,San Ignacio Cerro Gordo,23
