anio,mujeres_denuncia,hombres_denuncia,mujeres_reporte,hombres_reporte
1942,0.0,1.0,0.0,0.0
1943,0.0,1.0,0.0,0.0
1960,0.0,1.0,0.0,0.0
1965,1.0,2.0,0.0,0.0
1972,0.0,1.0,0.0,0.0
1973,0.0,1.0,0.0,0.0
1976,0.0,0.0,0.0,1.0
1977,1.0,1.0,1.0,10.0
1979,0.0,1.0,0.0,0.0
1980,0.0,2.0,0.0,0.0
1983,0.0,0.0,1.0,0.0
1985,0.0,2.0,0.0,0.0
1986,0.0,1.0,0.0,1.0
1987,0.0,3.0,0.0,0.0
1988,1.0,2.0,0.0,1.0
1991,1.0,2.0,0.0,0.0
1992,1.0,5.0,0.0,0.0
1993,0.0,2.0,0.0,0.0
1994,1.0,5.0,0.0,0.0
1995,0.0,7.0,0.0,1.0
1996,0.0,4.0,0.0,1.0
1997,0.0,4.0,0.0,1.0
1998,0.0,7.0,1.0,1.0
1999,2.0,1.0,1.0,1.0
2000,1.0,7.0,0.0,2.0
2001,3.0,15.0,0.0,0.0
2002,6.0,21.0,0.0,0.0
2003,7.0,30.0,0.0,1.0
2004,7.0,30.0,1.0,0.0
2005,11.0,32.0,0.0,1.0
2006,7.0,31.0,0.0,0.0
2007,5.0,31.0,0.0,1.0
2008,10.0,60.0,0.0,0.0
2009,8.0,89.0,0.0,1.0
2010,12.0,164.0,0.0,13.0
2011,40.0,289.0,0.0,2.0
2012,52.0,359.0,2.0,6.0
2013,67.0,521.0,0.0,9.0
2014,55.0,453.0,0.0,7.0
2015,49.0,507.0,1.0,14.0
2016,70.0,616.0,3.0,14.0
2017,94.0,964.0,5.0,27.0
2018,116.0,1175.0,58.0,60.0
2019,165.0,1549.0,9.0,56.0
2020,141.0,1123.0,40.0,139.0
2021,144.0,1017.0,82.0,257.0
2022,109.0,1215.0,88.0,215.0
2023,118.0,1169.0,74.0,255.0
2024,11.0,60.0,5.0,10.0
NO ESPECIFICADO,0.0,0.0,36.0,72.0
,,,,
