edad,mujeres_denuncia,hombres_denuncia,mujeres_reporte,hombres_reporte
00-04,17.0,19.0,23.0,17.0
05-09,8.0,14.0,20.0,17.0
10-14,47.0,51.0,40.0,32.0
15-19,214.0,845.0,84.0,97.0
20-24,245.0,1869.0,48.0,184.0
25-29,235.0,2123.0,55.0,176.0
30-34,179.0,1914.0,32.0,149.0
35-39,141.0,1593.0,19.0,136.0
40-44,85.0,1214.0,21.0,101.0
45-49,54.0,842.0,16.0,81.0
50-54,33.0,465.0,17.0,69.0
55-59,22.0,266.0,6.0,27.0
60-64,15.0,140.0,3.0,27.0
65-69,11.0,100.0,5.0,12.0
70-74,0.0,48.0,5.0,4.0
75-79,7.0,35.0,4.0,3.0
80-84,1.0,29.0,4.0,6.0
85-89,0.0,11.0,0.0,1.0
90-94,1.0,3.0,0.0,3.0
>95,1.0,2.0,0.0,0.0
NO DISPONIBLE,0.0,0.0,6.0,38.0
,,,,
