anio,mujeres_denuncia,hombres_denuncia,no_especificado_denuncia,mujeres_reporte,hombres_reporte,no_especificado_reporte
1995,0.0,1.0,,0.0,0.0,
1997,0.0,1.0,,0.0,0.0,
1998,0.0,0.0,,0.0,0.0,
1999,0.0,1.0,,0.0,0.0,
2000,0.0,1.0,,0.0,0.0,
2001,1.0,7.0,,0.0,0.0,
2002,6.0,20.0,,0.0,0.0,
2003,6.0,27.0,,0.0,0.0,
2004,8.0,24.0,,0.0,0.0,
2005,10.0,23.0,,0.0,0.0,
2006,6.0,23.0,,0.0,0.0,
2007,4.0,22.0,,0.0,0.0,
2008,8.0,57.0,,0.0,0.0,
2009,6.0,66.0,,0.0,0.0,
2010,12.0,136.0,,0.0,0.0,
2011,38.0,264.0,,0.0,0.0,
2012,47.0,318.0,,0.0,0.0,
2013,63.0,481.0,,0.0,0.0,
2014,48.0,457.0,,0.0,0.0,
2015,48.0,478.0,,0.0,0.0,
2016,66.0,585.0,,0.0,0.0,
2017,95.0,856.0,,0.0,0.0,
2018,110.0,1192.0,,62.0,48.0,
2019,155.0,1515.0,,3.0,15.0,
2020,139.0,1163.0,,54.0,198.0,
2021,143.0,1068.0,,106.0,324.0,
2022,114.0,1254.0,,95.0,260.0,
2023,141.0,1375.0,,74.0,305.0,
2024,34.0,235.0,,13.0,41.0,
NO DISPONIBLE,0.0,0.0,,0.0,0.0,
,,,,,,
