cvemun_char,municipio,mujeres,hombres,total
1,Acatic,1.0,21.0,22.0
2,Acatlán de Juárez,2.0,36.0,38.0
3,Ahualulco de Mercado,1.0,23.0,24.0
4,Amacueca,0.0,2.0,2.0
5,Amatitán,0.0,10.0,10.0
6,Ameca,4.0,70.0,74.0
7,San Juanito de Escobedo,0.0,11.0,11.0
8,Arandas,2.0,151.0,153.0
9,El Arenal,3.0,50.0,53.0
10,Atemajac de Brizuela,0.0,3.0,3.0
11,Atengo,0.0,7.0,7.0
12,Atenguillo,0.0,1.0,1.0
13,Atotonilco el Alto,10.0,141.0,151.0
14,Atoyac,2.0,4.0,6.0
15,Autlán de Navarro,7.0,90.0,97.0
16,Ayotlán,10.0,53.0,63.0
17,Ayutla,3.0,21.0,24.0
18,La Barca,15.0,149.0,164.0
19,Bolaños,0.0,0.0,0.0
20,Cabo Corrientes,1.0,15.0,16.0
21,Casimiro Castillo,3.0,48.0,51.0
22,Cihuatlán,9.0,87.0,96.0
23,Zapotlán el Grande,17.0,112.0,129.0
24,Cocula,2.0,36.0,38.0
25,Colotlán,7.0,40.0,47.0
26,Concepción de Buenos Aires,0.0,7.0,7.0
27,Cuautitlán de García Barragán,0.0,16.0,16.0
28,Cuautla,0.0,3.0,3.0
29,Cuquío,0.0,5.0,5.0
30,Chapala,15.0,87.0,102.0
31,Chimaltitán,1.0,7.0,8.0
32,Chiquilistlán,0.0,3.0,3.0
33,Degollado,4.0,17.0,21.0
34,Ejutla,0.0,2.0,2.0
35,Encarnación de Díaz,28.0,205.0,233.0
36,Etzatlán,4.0,22.0,26.0
37,El Grullo,5.0,29.0,34.0
38,Guachinango,0.0,2.0,2.0
39,Guadalajara,243.0,1846.0,2089.0
40,Hostotipaquillo,0.0,5.0,5.0
41,Huejúcar,0.0,22.0,22.0
42,Huejuquilla el Alto,5.0,25.0,30.0
43,La Huerta,5.0,62.0,67.0
44,Ixtlahuacán de los Membrillos,12.0,117.0,129.0
45,Ixtlahuacán del Río,1.0,23.0,24.0
46,Jalostotitlán,2.0,57.0,59.0
47,Jamay,0.0,17.0,17.0
48,Jesús María,1.0,20.0,21.0
