edad,mujeres_denuncia,hombres_denuncia,mujeres_reporte,hombres_reporte
00-04,17.0,19.0,22.0,17.0
05-09,8.0,14.0,19.0,17.0
10-14,48.0,50.0,40.0,32.0
15-19,216.0,847.0,84.0,102.0
20-24,243.0,1880.0,49.0,184.0
25-29,232.0,2135.0,55.0,175.0
30-34,175.0,1933.0,31.0,152.0
35-39,140.0,1603.0,20.0,138.0
40-44,84.0,1217.0,23.0,99.0
45-49,55.0,850.0,15.0,83.0
50-54,33.0,464.0,16.0,69.0
55-59,22.0,267.0,6.0,28.0
60-64,15.0,142.0,3.0,28.0
65-69,10.0,102.0,5.0,12.0
70-74,0.0,47.0,5.0,4.0
75-79,7.0,36.0,4.0,3.0
80-84,1.0,29.0,4.0,6.0
85-89,0.0,10.0,0.0,1.0
90-94,1.0,3.0,0.0,3.0
>95,1.0,2.0,0.0,0.0
NO DISPONIBLE,0.0,0.0,6.0,38.0
,,,,
