edad,mujeres_con_vida_denuncia,mujeres_sin_vida_denuncia,mujeres_con_vida_reporte,mujeres_sin_vida_reporte,hombres_con_vida_denuncia,hombres_sin_vida_denuncia,hombres_con_vida_reporte,hombres_sin_vida_reporte
00-04,92.0,2.0,36.0,0.0,92.0,3.0,36.0,1.0
05-09,65.0,2.0,29.0,0.0,84.0,1.0,43.0,0.0
10-14,793.0,4.0,132.0,0.0,433.0,8.0,102.0,0.0
15-19,1467.0,20.0,214.0,3.0,1008.0,128.0,158.0,31.0
20-24,404.0,52.0,103.0,6.0,1085.0,316.0,161.0,32.0
25-29,310.0,51.0,66.0,9.0,970.0,336.0,156.0,33.0
30-34,244.0,27.0,52.0,4.0,830.0,296.0,129.0,23.0
35-39,161.0,23.0,29.0,2.0,697.0,252.0,94.0,27.0
40-44,117.0,20.0,41.0,3.0,568.0,192.0,86.0,25.0
45-49,102.0,13.0,26.0,2.0,399.0,151.0,73.0,21.0
50-54,62.0,10.0,21.0,2.0,271.0,84.0,50.0,9.0
55-59,33.0,5.0,12.0,1.0,185.0,56.0,44.0,11.0
60-64,32.0,4.0,20.0,0.0,142.0,38.0,31.0,3.0
65-69,32.0,1.0,10.0,2.0,97.0,22.0,23.0,5.0
70-74,21.0,0.0,15.0,0.0,80.0,22.0,28.0,1.0
75-79,16.0,0.0,19.0,0.0,55.0,20.0,25.0,1.0
80-84,11.0,3.0,12.0,0.0,52.0,12.0,27.0,1.0
85-89,5.0,0.0,2.0,1.0,26.0,5.0,17.0,1.0
90-94,3.0,1.0,0.0,0.0,7.0,4.0,5.0,0.0
>95,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
NO DISPONIBLE,1.0,1.0,5.0,0.0,9.0,2.0,7.0,4.0
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
