edad,mujeres_con_vida_denuncia,mujeres_sin_vida_denuncia,mujeres_con_vida_reporte,mujeres_sin_vida_reporte
00-04,92.0,2.0,36.0,0.0
05-09,65.0,2.0,29.0,0.0
10-14,793.0,4.0,132.0,0.0
15-19,1467.0,20.0,214.0,3.0
20-24,404.0,52.0,103.0,6.0
25-29,310.0,51.0,66.0,9.0
30-34,244.0,27.0,52.0,4.0
35-39,161.0,23.0,29.0,2.0
40-44,117.0,20.0,41.0,3.0
45-49,102.0,13.0,26.0,2.0
50-54,62.0,10.0,21.0,2.0
55-59,33.0,5.0,12.0,1.0
60-64,32.0,4.0,20.0,0.0
65-69,32.0,1.0,10.0,2.0
70-74,21.0,0.0,15.0,0.0
75-79,16.0,0.0,19.0,0.0
80-84,11.0,3.0,12.0,0.0
85-89,5.0,0.0,2.0,1.0
90-94,3.0,1.0,0.0,0.0
>95,0.0,0.0,0.0,0.0
NO DISPONIBLE,1.0,1.0,5.0,0.0
,,,,
,,,,
,,,,
,,,,
