anio,mujeres_denuncia,hombres_denuncia,mujeres_reporte,hombres_reporte
1942,0.0,1.0,0.0,1.0
1943,0.0,1.0,0.0,0.0
1960,0.0,1.0,0.0,0.0
1965,1.0,2.0,0.0,0.0
1973,0.0,1.0,0.0,0.0
1976,0.0,0.0,0.0,1.0
1977,1.0,1.0,1.0,10.0
1979,0.0,1.0,0.0,0.0
1980,0.0,2.0,0.0,0.0
1983,0.0,0.0,1.0,0.0
1984,0.0,0.0,0.0,0.0
1985,0.0,2.0,0.0,0.0
1986,0.0,1.0,0.0,0.0
1987,0.0,2.0,0.0,0.0
1988,0.0,2.0,0.0,1.0
1991,1.0,1.0,0.0,0.0
1992,1.0,5.0,0.0,0.0
1993,0.0,1.0,0.0,0.0
1994,0.0,5.0,0.0,0.0
1995,0.0,8.0,0.0,1.0
1996,0.0,4.0,0.0,0.0
1997,0.0,4.0,0.0,1.0
1998,0.0,6.0,1.0,1.0
1999,1.0,1.0,1.0,1.0
2000,1.0,7.0,0.0,2.0
2001,4.0,14.0,0.0,0.0
2002,6.0,21.0,0.0,0.0
2003,7.0,29.0,0.0,1.0
2004,10.0,30.0,1.0,0.0
2005,11.0,33.0,0.0,0.0
2006,8.0,31.0,0.0,0.0
2007,4.0,30.0,0.0,1.0
2008,11.0,60.0,0.0,0.0
2009,8.0,89.0,0.0,1.0
2010,13.0,154.0,0.0,13.0
2011,41.0,297.0,0.0,2.0
2012,52.0,356.0,2.0,7.0
2013,73.0,526.0,0.0,9.0
2014,60.0,462.0,0.0,7.0
2015,49.0,509.0,1.0,13.0
2016,71.0,621.0,4.0,15.0
2017,97.0,965.0,6.0,25.0
2018,112.0,1200.0,60.0,66.0
2019,168.0,1574.0,12.0,56.0
2020,149.0,1139.0,43.0,142.0
2021,148.0,1037.0,83.0,259.0
2022,124.0,1256.0,91.0,220.0
2023,99.0,833.0,55.0,191.0
NO ESPECIFICADO,0.0,0.0,39.0,77.0
,,,,
