edad,mujeres_denuncia,hombres_denuncia,mujeres_reporte,hombres_reporte
00-04,19.0,20.0,20.0,14.0
05-09,11.0,13.0,18.0,17.0
10-14,55.0,54.0,38.0,34.0
15-19,223.0,828.0,83.0,99.0
20-24,241.0,1843.0,46.0,172.0
25-29,238.0,2052.0,54.0,172.0
30-34,168.0,1847.0,33.0,137.0
35-39,137.0,1534.0,20.0,125.0
40-44,88.0,1174.0,23.0,98.0
45-49,57.0,816.0,15.0,76.0
50-54,28.0,449.0,18.0,62.0
55-59,17.0,259.0,7.0,24.0
60-64,13.0,136.0,3.0,25.0
65-69,11.0,98.0,5.0,12.0
70-74,1.0,48.0,5.0,5.0
75-79,7.0,33.0,4.0,4.0
80-84,1.0,30.0,3.0,5.0
85-89,0.0,11.0,0.0,2.0
90-94,1.0,3.0,0.0,3.0
>95,1.0,2.0,,
NO DISPONIBLE,14.0,75.0,6.0,38.0
,,,,
95-99,,,0.0,0.0
