edad,mujeres_denuncia,hombres_denuncia,mujeres_reporte,hombres_reporte
00-04,16.0,20.0,21.0,15.0
05-09,8.0,15.0,19.0,17.0
10-14,48.0,51.0,40.0,35.0
15-19,218.0,847.0,83.0,98.0
20-24,246.0,1865.0,48.0,186.0
25-29,233.0,2115.0,53.0,180.0
30-34,175.0,1906.0,32.0,146.0
35-39,138.0,1591.0,19.0,133.0
40-44,85.0,1215.0,22.0,102.0
45-49,53.0,842.0,16.0,84.0
50-54,32.0,467.0,17.0,69.0
55-59,20.0,263.0,6.0,27.0
60-64,15.0,140.0,3.0,26.0
65-69,11.0,98.0,5.0,12.0
70-74,0.0,49.0,5.0,4.0
75-79,7.0,34.0,4.0,3.0
80-84,1.0,29.0,4.0,5.0
85-89,0.0,12.0,0.0,1.0
90-94,1.0,3.0,0.0,3.0
>95,1.0,2.0,0.0,0.0
NO DISPONIBLE,0.0,0.0,6.0,38.0
,,,,
