edad,mujeres_con_vida_denuncia,mujeres_sin_vida_denuncia,mujeres_con_vida_reporte,mujeres_sin_vida_reporte
00-04,91.0,2.0,35.0,0.0
05-09,65.0,2.0,27.0,0.0
10-14,782.0,3.0,128.0,0.0
15-19,1441.0,20.0,207.0,3.0
20-24,400.0,50.0,102.0,6.0
25-29,304.0,50.0,62.0,9.0
30-34,236.0,27.0,52.0,3.0
35-39,156.0,22.0,28.0,2.0
40-44,117.0,19.0,40.0,4.0
45-49,101.0,13.0,26.0,2.0
50-54,61.0,10.0,19.0,2.0
55-59,33.0,5.0,12.0,1.0
60-64,31.0,4.0,19.0,0.0
65-69,29.0,1.0,10.0,2.0
70-74,21.0,0.0,14.0,0.0
75-79,15.0,0.0,18.0,0.0
80-84,11.0,3.0,12.0,0.0
85-89,5.0,0.0,2.0,1.0
90-94,3.0,1.0,0.0,0.0
>95,0.0,0.0,0.0,0.0
NO DISPONIBLE,1.0,1.0,5.0,0.0
,,,,
,,,,
,,,,
,,,,
