anio,mujeres_denuncia,hombres_denuncia,mujeres_reporte,hombres_reporte
1942,0.0,1.0,0.0,0.0
1943,0.0,1.0,0.0,0.0
1960,0.0,1.0,0.0,0.0
1965,1.0,2.0,0.0,0.0
1973,0.0,1.0,0.0,0.0
1976,0.0,0.0,0.0,1.0
1977,1.0,1.0,1.0,10.0
1979,0.0,1.0,0.0,0.0
1980,0.0,2.0,0.0,0.0
1983,0.0,0.0,1.0,0.0
1984,0.0,0.0,0.0,0.0
1985,0.0,2.0,0.0,0.0
1986,0.0,1.0,0.0,0.0
1987,0.0,3.0,0.0,0.0
1988,1.0,2.0,0.0,1.0
1991,1.0,2.0,0.0,0.0
1992,1.0,5.0,0.0,0.0
1993,0.0,2.0,0.0,0.0
1994,1.0,6.0,0.0,0.0
1995,0.0,7.0,0.0,1.0
1996,0.0,4.0,0.0,1.0
1997,0.0,4.0,0.0,1.0
1998,0.0,6.0,1.0,1.0
1999,2.0,1.0,1.0,1.0
2000,1.0,7.0,0.0,2.0
2001,4.0,15.0,0.0,0.0
2002,6.0,21.0,0.0,0.0
2003,6.0,30.0,0.0,1.0
2004,9.0,30.0,1.0,0.0
2005,11.0,32.0,0.0,0.0
2006,8.0,31.0,0.0,0.0
2007,4.0,32.0,0.0,1.0
2008,11.0,61.0,0.0,0.0
2009,8.0,88.0,0.0,1.0
2010,13.0,162.0,0.0,13.0
2011,40.0,291.0,0.0,2.0
2012,53.0,362.0,2.0,7.0
2013,71.0,523.0,0.0,9.0
2014,57.0,458.0,0.0,7.0
2015,49.0,511.0,1.0,14.0
2016,69.0,618.0,3.0,14.0
2017,94.0,964.0,6.0,26.0
2018,114.0,1182.0,58.0,61.0
2019,162.0,1564.0,10.0,55.0
2020,145.0,1133.0,43.0,142.0
2021,146.0,1031.0,82.0,257.0
2022,115.0,1236.0,90.0,217.0
2023,110.0,1017.0,66.0,224.0
NO ESPECIFICADO,0.0,0.0,37.0,72.0
,,,,
