edad,mujeres_con_vida_denuncia,mujeres_sin_vida_denuncia,mujeres_con_vida_reporte,mujeres_sin_vida_reporte,hombres_con_vida_denuncia,hombres_sin_vida_denuncia,hombres_con_vida_reporte,hombres_sin_vida_reporte
00-04,90.0,2.0,32.0,0.0,89.0,3.0,33.0,1.0
05-09,60.0,2.0,26.0,0.0,85.0,1.0,41.0,0.0
10-14,765.0,3.0,128.0,0.0,424.0,7.0,87.0,0.0
15-19,1411.0,18.0,201.0,3.0,954.0,126.0,153.0,30.0
20-24,388.0,47.0,94.0,5.0,1036.0,304.0,149.0,28.0
25-29,290.0,48.0,61.0,9.0,918.0,322.0,146.0,31.0
30-34,232.0,27.0,51.0,3.0,785.0,278.0,119.0,22.0
35-39,151.0,20.0,26.0,2.0,650.0,247.0,91.0,26.0
40-44,115.0,17.0,39.0,4.0,526.0,178.0,82.0,22.0
45-49,98.0,12.0,26.0,2.0,376.0,142.0,64.0,20.0
50-54,57.0,9.0,20.0,2.0,250.0,79.0,48.0,9.0
55-59,33.0,5.0,12.0,1.0,172.0,52.0,39.0,11.0
60-64,30.0,4.0,18.0,0.0,138.0,38.0,29.0,3.0
65-69,28.0,1.0,10.0,2.0,93.0,22.0,23.0,5.0
70-74,19.0,0.0,13.0,0.0,74.0,19.0,25.0,1.0
75-79,15.0,0.0,18.0,0.0,52.0,19.0,22.0,1.0
80-84,10.0,3.0,12.0,0.0,50.0,10.0,26.0,1.0
85-89,5.0,0.0,1.0,1.0,24.0,3.0,17.0,1.0
90-94,3.0,1.0,0.0,0.0,7.0,4.0,5.0,0.0
95-99,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
NO DISPONIBLE,2.0,1.0,6.0,0.0,11.0,2.0,6.0,4.0
,,,,,,,,
