cvemun_char,municipio,total
1,Acatic,23
2,Acatlán de Juárez,39
3,Ahualulco de Mercado,24
4,Amacueca,2
5,Amatitán,10
6,Ameca,73
7,San Juanito de Escobedo,11
8,Arandas,150
9,El Arenal,54
10,Atemajac de Brizuela,3
11,Atengo,7
12,Atenguillo,1
13,Atotonilco el Alto,150
14,Atoyac,6
15,Autlán de Navarro,96
16,Ayotlán,65
17,Ayutla,24
18,La Barca,165
19,Bolaños,0
20,Cabo Corrientes,18
21,Casimiro Castillo,51
22,Cihuatlán,96
23,Zapotlán el Grande,123
24,Cocula,38
25,Colotlán,46
26,Concepción de Buenos Aires,7
27,Cuautitlán de García Barragán,19
28,Cuautla,3
29,Cuquío,7
30,Chapala,106
31,Chimaltitán,8
32,Chiquilistlán,3
33,Degollado,21
34,Ejutla,2
35,Encarnación de Díaz,230
36,Etzatlán,25
37,El Grullo,34
38,Guachinango,2
39,Guadalajara,2086
40,Hostotipaquillo,5
41,Huejúcar,21
42,Huejuquilla el Alto,29
43,La Huerta,68
44,Ixtlahuacán de los Membrillos,122
45,Ixtlahuacán del Río,23
46,Jalostotitlán,59
47,Jamay,17
48,Jesús María,19
49,Jilotlán de los Dolores,7
50,Jocotepec,88
51,Juanacatlán,31
52,Juchitlán,12
53,Lagos de Moreno,529
54,El Limón,5
55,Magdalena,32
56,Santa María del Oro,10
57,La Manzanilla de la Paz,9
58,Mascota,6
59,Mazamitla,44
60,Mexticacán,3
61,Mezquitic,6
62,Mixtlán,9
63,Ocotlán,81
64,Ojuelos de Jalisco,46
65,Pihuamo,22
66,Poncitlán,43
67,Puerto Vallarta,416
68,Villa Purificación,18
69,Quitupan,16
70,El Salto,450
71,San Cristóbal de la Barranca,3
72,San Diego de Alejandría,6
73,San Juan de los Lagos,145
74,San Julián,25
75,San Marcos,2
76,San Martín de Bolaños,18
77,San Martín Hidalgo,17
78,San Miguel el Alto,97
79,Gómez Farías,8
80,San Sebastián del Oeste,15
81,Santa María de los Ángeles,3
82,Sayula,53
83,Tala,263
84,Talpa de Allende,20
85,Tamazula de Gordiano,34
86,Tapalpa,26
87,Tecalitlán,28
88,Tecolotlán,32
89,Techaluta de Montenegro,7
90,Tenamaxtlán,8
91,Teocaltiche,47
92,Teocuitatlán de Corona,2
93,Tepatitlán de Morelos,230
94,Tequila,57
95,Teuchitlán,11
96,Tizapán el Alto,19
97,Tlajomulco de Zúñiga,1241
98,San Pedro Tlaquepaque,1004
99,Tolimán,7
100,Tomatlán,82
101,Tonalá,524
102,Tonaya,5
103,Tonila,20
104,Totatiche,4
105,Tototlán,7
106,Tuxcacuesco,22
107,Tuxcueca,9
108,Tuxpan,31
109,Unión de San Antonio,18
110,Unión de Tula,25
111,Valle de Guadalupe,6
112,Valle de Juárez,18
113,San Gabriel,51
114,Villa Corona,23
115,Villa Guerrero,9
116,Villa Hidalgo,5
117,Cañadas de Obregón,4
118,Yahualica de González Gallo,33
119,Zacoalco de Torres,19
120,Zapopan,2165
121,Zapotiltic,30
122,Zapotitlán de Vadillo,11
123,Zapotlán del Rey,4
124,Zapotlanejo,47
125,San Ignacio Cerro Gordo,23
