edad,mujeres_denuncia,hombres_denuncia,mujeres_reporte,hombres_reporte
00-04,18.0,20.0,21.0,15.0
05-09,10.0,13.0,19.0,17.0
10-14,53.0,50.0,37.0,34.0
15-19,217.0,828.0,82.0,96.0
20-24,248.0,1847.0,46.0,172.0
25-29,235.0,2073.0,53.0,172.0
30-34,170.0,1864.0,35.0,137.0
35-39,137.0,1552.0,19.0,125.0
40-44,89.0,1190.0,23.0,99.0
45-49,56.0,822.0,15.0,76.0
50-54,29.0,454.0,17.0,63.0
55-59,18.0,263.0,7.0,23.0
60-64,13.0,138.0,4.0,25.0
65-69,11.0,99.0,5.0,12.0
70-74,1.0,47.0,5.0,4.0
75-79,7.0,33.0,4.0,4.0
80-84,1.0,30.0,3.0,5.0
85-89,0.0,11.0,0.0,1.0
90-94,1.0,3.0,0.0,3.0
>95,1.0,2.0,,
NO DISPONIBLE,13.0,65.0,6.0,38.0
,,,,
95-99,,,0.0,0.0
